NOMBRE;PRECIO;PANTALLA;DISCO;CPU;MEMORIA;VALORACION
"Gigabyte AERO 15 XB-8ES1130SH - Ordenador portátil de 15.6"" FullHD 144Hz (Intel Core i7-10875H, 16GB RAM, 512GB SSD, Nvidia RTX2070-8GB Super, Windows 10) negro - teclado QWERTY Español";1.384,74;15.6;[];5.1;1;
10 Inch Android 11 Tablet PC. 2,4G 5G WiFi HD IPS 60x1080 Portable Monitor 6GB 128GB. 5MP 13MP Dual Camera. Octa Core. BT. GPS 2 SIM Cards. 8800mAh Battery para Laptop;2.599,00;;[];[];[];4.4
ASUS PORTATIL Laptop F515EA-EJ1614 Grey;1.649,00;15.6;SSD;4.2;1;3.7
Microsoft Surface Laptop GO 2 128 - Vert;1.209,21;12.4;[];[];8;3.9
JUMPER Ordenador portátil de 13,3 Pulgadas Full HD, 8GB+128GB Ordenador portátil, Intel Cuatro núcleos procesador Laptop, Windows 10 PC, Bluetooth 4.2, Doble Banda WLAN, Memoria Ampliable;1.500,00;13.3;eMMC;1.1;8;3.6
HP Elitebook 840 G2, Intel Core I5-5300U, RAM 8 GB, SSD 240 GB, pantalla de 14 pulgadas, wifi, webcam, Windows 10 Professional 64 bits (reacondicionado);799;14;SSD;[];8;3.6
Microsoft Surface Laptop GO 2 256 - Bleu;369,99;12.4;[];[];8;5.0
"Lenovo IdeaPad Flex 5 Chromebook Gen 6, Ordenador Convertible, 13.3"" FHD (Intel Core i3-1115G4, 8GB RAM, 256GB SSD, Intel UHD Graphics, WiFi 6, Chrome OS) Gris, Teclado QWERTY Español, Iron Grey";339,99;13.3;SSD;4.1;8;3.8
STILORD 'Troy' Funda de Cuero para Portátil de 13,3 Pulgadas Funda Vintage para MacBook o Laptop 13' Carpeta de Documentos Portafolio para Ordenador de Piel, Color:curtición Vegetal - Brandy;1.932,84;17.3;[];2.7;1;4.2
"Gigabyte AORUS 7 KB-7ES1130SD - Ordenador portátil de 17.3"" FHD 144Hz ( Intel Core i7-10750H, 16GB RAM, 512GB SSD, Nvidia RTX2060-6GB, Sin sistema operativo) negro - teclado QWERTY Español";482;17.3;SSD;3.4;[];3.7
"MSI Pulse 17 B13VFK-072XES - Ordenador portátil Gaming 17.3"" FHD (1920x1080), 144Hz (i7-13700H, 16GB RAM, 1TB SSD, RTX 4060 8GB, Free Dos) Titanium Gray - Teclado QWERTY español";2.099,00;14.4;[];[];[];3.8
HUAWEI MateBook D15 R5-5500U 8GB 512GB U;696,12;15.6;SSD;[];8;4.3
"Lenovo IdeaPad 3 14"" FHD Laptop, 11th Intel 4-Core i5-1135G7, Intel Iris Xe Graphics, 36GB RAM, 2TB PCIe SSD, USB-C, HDMI, WiFi 6, FP Reader, Webcam, SD Card Reader, US Version KB, Grey, Win 11";1.889,99;14;SSD;2.4;3;3.0
"Lenovo IdeaPad Gaming 3i Gaming Laptop, 15.6"" FHD IPS 120Hz, 12th Gen Intel 14-Core i7-12700H, GeForce RTX 3050Ti, 64GB RAM, 2TB PCIe SSD, USB-C, RJ45, WiFi 6, Backlit, US Version KB, Win 11";1.599,99;15.6;SSD;3.5;6;4.1
HP Uma CELN4020 250 G8;649;15.6;SSD;[];4;4.3
"XPG Xenia 14 Lifestyle Ultrabook Ultra Light-Weight Intel i5 DDR4 3200MHz 16GB 512GB PCIe 4x4 SSD, Intel Iris X GPU, 14"" Screen 92% Viewable-Screen Laptop PC (XENIA14I5G11GXELX-BKCUS), Negro";2.350,71;14;SSD;4.2;1;2.4
"ASUS VivoBook 15 X513EA-BQ2191T - Portátil .6"" Full HD (Core i7-1165G7, 8GB RAM, 512GB SSD, Iris Xe Graphics, Windows 10 Home) Negro - Teclado QWERTY español";49,95;15.6;SSD;[];8;3.8
LG gram 17Z90Q-E.AA75B - Ordenador Portátil Ultraligero, 17 pulgadas (43.2cm), 1.4kg, Intel EVO i7 12ª gen, 16GB RAM, 512GB SSD NVMe, RTX2050 4GB GDDR6, Windows 11 Home, Teclado Español, Color Negro;244,39;17;SSD;5;[];5.0
"ASUS Vivobook Laptop for Business & Student, 14"" HD NanoEdge Display, AMD Ryzen 3 3250, 20GB RAM, 1TB PCIe SSD+1TB HDD, USB-C, HDMI, WiFi, MicroSD Card Reader, US Version KB, Win 11";1.414,99;14;SSD;2.6;1;3.9
Monitor Portátil, 17.3 Pulgadas 1080P HD Travel Laptop Monitor de Alta Resolución Laptop Dual Screen Ultra Slim Laptop Screen Extender HDR IPS Monitor Externo con Soporte (Blanco);719,99;17.3;[];[];[];4.8
"ASUS TUF Gaming F15 FX506HM-HN014 - Ordenador Portátil Gaming de 15.6"" Full HD 144Hz (Intel Core i7-11800H, 16GB RAM, 1TB SSD, RTX 3060 6GB, Sin Sistema Operativo) Negro - Teclado QWERTY español";1.080,00;15.6;SSD;[];1;3.4
"CLASSIC LAPTOP CASE (15"") COBALT BLUE";2.099,00;13.3;[];[];[];4.3
